id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
97945,Rental unit in Munich · ★4.84 · 1 bedroom · 1 bed · 1 bath,517685,Angelika,,Hadern,48.11492,11.48954,Entire home/apt,97,2,129,2019-10-03,0.88,2,89,0,
114695,Rental unit in Munich · ★4.80 · 1 bedroom · 3 beds · 1 bath,581737,Stephan,,Berg am Laim,48.12071,11.63758,Entire home/apt,111,1,60,2023-09-19,0.40,3,106,5,
127383,Rental unit in Munich · ★4.83 · 1 bedroom · 1 bed · 1 bath,630556,Sonja,,Maxvorstadt,48.15199,11.56482,Entire home/apt,120,3,108,2023-07-29,0.72,1,0,1,
159634,Rental unit in Munich · ★4.63 · 1 bedroom · 1 bed · 1 bath,765694,Susana,,Pasing-Obermenzing,48.13855,11.46586,Entire home/apt,90,5,39,2023-08-09,0.26,1,2,4,
170154,Home in Munich · ★4.95 · 1 bedroom · 2 beds · 1 shared bath,108297,Alex,,Sendling-Westpark,48.10814,11.52733,Private room,120,3,538,2023-09-18,3.68,1,155,22,
170815,Rental unit in Munich · ★4.53 · 1 bedroom · 1 bed · 1 bath,814793,Inge,,Neuhausen-Nymphenburg,48.16071,11.54314,Entire home/apt,65,3,64,2020-02-18,0.44,1,0,0,
172672,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,823913,Karin,,Schwabing-West,48.16341,11.56366,Private room,149,1,224,2022-05-22,1.96,2,0,0,
172977,Rental unit in Munich · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,825767,Daniela,,Maxvorstadt,48.14957,11.55507,Private room,127,2,101,2023-09-17,0.73,1,84,12,
179640,Condo in Munich · ★4.74 · 1 bedroom · 1 bed · Shared half-bath,860212,Ingrid,,Bogenhausen,48.14453,11.63769,Private room,35,2,50,2020-02-29,0.34,1,242,0,
183634,Ice dome in Munich · 1 bedroom · 1 bed · 1.5 shared baths,880705,Toby,,Allach-Untermenzing,48.17532,11.44526,Shared room,50,1,1,2022-09-25,0.08,1,361,1,
186596,Rental unit in Munich · ★4.65 · 1 bedroom · 3 beds · 1 shared bath,910486,Hatice,,Au-Haidhausen,48.12008,11.57725,Shared room,82,1,163,2020-01-02,1.17,1,0,0,
187359,Rental unit in Munich · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,901209,Christian,,Neuhausen-Nymphenburg,48.15638,11.53935,Private room,115,2,43,2023-09-02,0.29,1,77,8,
187386,Rental unit in Munich · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,901512,Janine,,Berg am Laim,48.12031,11.62787,Private room,84,2,17,2022-08-28,0.12,2,6,0,
189551,Loft in Munich · ★4.79 · 2 bedrooms · 4 beds · 1.5 baths,914449,Peter,,Schwanthalerhöhe,48.13592,11.54427,Entire home/apt,657,3,397,2023-09-18,2.77,2,54,30,
189582,Rental unit in Munich · ★4.62 · 1 bedroom · 1 bed · 1 private bath,914564,Christiane,,Bogenhausen,48.15556,11.64903,Private room,25,30,14,2022-07-31,0.11,1,0,0,
189606,Rental unit in Munich · ★4.55 · 1 bedroom · 2 beds · 1 bath,914691,Klaus,,Au-Haidhausen,48.126277923583984,11.579534530639648,Entire home/apt,86,2,230,2023-08-27,1.58,2,287,25,
190383,Rental unit in Munich · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,919644,Christine,,Berg am Laim,48.12424,11.63186,Private room,39,2,191,2023-09-19,1.36,1,186,35,
190653,Rental unit in Munich · ★4.75 · 1 bedroom · 1 bed,919917,Werner,,Ludwigsvorstadt-Isarvorstadt,48.12951,11.56103,Entire home/apt,129,1,214,2023-08-11,1.54,1,278,27,
191405,Rental unit in Munich · ★4.95 · 1 bedroom · 1 bed · 1 bath,925836,Esther,,Au-Haidhausen,48.12204,11.58064,Entire home/apt,85,2,20,2018-04-23,0.14,1,0,0,
191535,Rental unit in Munich · ★4.88 · 2 bedrooms · 2 beds · 1 shared bath,926189,Marco,,Sendling,48.11647,11.54049,Private room,400,3,8,2022-10-02,0.13,1,0,1,
191602,Rental unit in Munich · ★4.78 · 1 bedroom · 1 bed · 1 bath,926985,Dunni,,Ludwigsvorstadt-Isarvorstadt,48.1267,11.57033,Entire home/apt,160,3,55,2023-06-11,0.38,1,15,2,
192933,Rental unit in Munich · ★4.80 · 1 bedroom · 2 beds · 1 shared bath,934964,Andreas,,Ludwigsvorstadt-Isarvorstadt,48.1295,11.56788,Shared room,100,3,91,2023-09-22,0.62,1,214,14,
193463,Rental unit in Munich · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,938552,Gabriele,,Maxvorstadt,48.155906677246094,11.572439193725586,Private room,120,1,212,2023-09-22,1.53,2,129,19,
193477,Rental unit in Munich · ★4.82 · 1 bedroom · 1 bed · 1 shared bath,938552,Gabriele,,Maxvorstadt,48.15441,11.57037,Private room,94,3,97,2023-09-18,1.07,2,21,8,
194533,Rental unit in Munich · ★4.77 · 1 bedroom · 1 bed · 1 bath,944911,Anke,,Neuhausen-Nymphenburg,48.1495,11.54115,Entire home/apt,150,1,65,2023-06-16,0.44,1,4,11,
195293,Condo in Munich · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,949632,Sabine,,Schwabing-West,48.16438,11.56853,Private room,120,30,68,2023-08-17,0.50,2,68,1,
195371,Home in Munich · ★4.67 · 1 bedroom · 2 beds · 1 private bath,949953,Sybille,,Feldmoching-Hasenbergl,48.19459,11.53297,Private room,36,14,45,2023-08-31,0.81,2,34,13,
195388,Townhouse in Munich · ★4.90 · 1 bedroom · 2 beds · 1 bath,949998,Ingrid,,Ramersdorf-Perlach,48.10026,11.6068,Entire home/apt,140,2,263,2023-09-22,1.80,1,171,31,
195444,Rental unit in Munich · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12279,11.56028,Private room,139,3,246,2023-09-20,1.68,2,221,31,
195452,Rental unit in Munich · ★4.75 · 2 bedrooms · 6 beds · 1 bath,950268,Eileen,,Ludwigsvorstadt-Isarvorstadt,48.12103,11.5605,Entire home/apt,135,6,18,2023-04-26,0.13,2,206,1,
196265,Rental unit in Munich · ★4.80 · 1 bedroom · 1 bed · 1 bath,14870835,Dominik,,Au-Haidhausen,48.12094,11.57697,Entire home/apt,180,7,79,2023-08-05,0.57,1,252,5,
197197,Home in Munich · ★4.64 · 1 bedroom · 1 bed · 1 private bath,961042,Michael,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08972,11.51393,Private room,95,3,253,2023-09-18,1.73,1,20,15,
198942,Rental unit in Munich · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,971759,Anna C,,Berg am Laim,48.1177,11.64272,Private room,74,2,127,2023-09-09,0.91,2,171,17,
198990,Rental unit in Munich · ★4.88 · Studio · 1 bed · 1 bath,959791,Heidrun,,Neuhausen-Nymphenburg,48.15797,11.51046,Entire home/apt,62,180,17,2023-07-29,0.12,1,204,2,
199066,Rental unit in Munich · ★4.88 · 2 bedrooms · 6 beds · 1 private bath,972246,Cordula,,Untergiesing-Harlaching,48.09092,11.56088,Private room,179,1,416,2023-09-20,2.85,1,241,42,
199099,Rental unit in Munich · ★4.64 · 1 bedroom · 4 beds,972392,Ingrid,,Obergiesing,48.11511,11.59193,Entire home/apt,80,7,22,2023-09-08,0.85,1,176,15,
