id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34588127,BEAUTIFUL APARTMENT IN MUNICH FOR THE WHOLE FAMILY,260963539,Evelyn,,Ramersdorf-Perlach,48.11616,11.60588,Entire home/apt,132,2,0,,,1,0,0,
34928560,⭐️Souterrain Munich | 20min Oktoberfest / Downtown,1773186,Caroline & Tobias,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08721,11.51923,Entire home/apt,120,2,31,2022-10-25,0.72,2,57,4,
34592681,cosy room for rent in December,21257270,Isabelle,,Schwanthalerhöhe,48.13775,11.54674,Private room,50,14,0,,,1,0,0,
34642714,gemütliche Dachgeschosswohnung,261350216,Elisabeth,,Hadern,48.11381,11.48423,Entire home/apt,100,2,98,2022-12-10,2.23,1,124,39,
34643456,"Chummy Room, 5 min to Oktoberfest",254350209,Bernhard,,Schwanthalerhöhe,48.13774,11.54434,Private room,226,2,4,2022-10-29,0.10,10,353,3,
32460225,"BRIGHT, MODERN APARTMENT NEARBY NATIONAL THEATRE!",243857341,Armin,,Altstadt-Lehel,48.13637,11.58785,Entire home/apt,126,2,10,2019-05-10,0.22,1,0,0,
34958762,Gemütliche Wohnung an der Theresienwiese,50722293,Nadine,,Sendling,48.12735,11.53972,Entire home/apt,69,4,6,2022-11-24,0.86,1,59,6,
32480864,MucOase - Messeapartment,22680694,Nicole,,Tudering-Riem,48.14058,11.68068,Entire home/apt,56,2,27,2022-12-09,0.58,1,144,14,
34992685,Brand new and modern flat at the park,41550024,Igor,,Pasing-Obermenzing,48.13817,11.45446,Entire home/apt,220,2,3,2019-10-04,0.08,2,118,0,
32488978,CHARMING APARTMENT DIRECTLY AT THE ISAR,244100364,Marion,,Ludwigsvorstadt-Isarvorstadt,48.1216,11.56095,Entire home/apt,84,2,12,2019-10-06,0.26,1,0,0,
36046927,Top Suite mit Balkon oder Terrasse & Klimaanlage,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.61734,Entire home/apt,999,25,6,2021-09-23,0.16,33,0,0,
34644248,"Zimmerwohnung in München in zentrale Lage, U-Bahn",243949708,Alaa,,Ramersdorf-Perlach,48.12039,11.60282,Entire home/apt,200,10,0,,,1,90,0,
34646273,Wohnung,261377503,Stefanie,,Feldmoching-Hasenbergl,48.1995,11.53047,Private room,122,1,14,2019-10-02,0.32,1,364,0,
35000999,Nice and chill room Near Munich city center,68809617,Lorant,,Maxvorstadt,48.1496,11.55309,Private room,84,3,1,2022-10-15,0.39,3,0,1,
34659449,Lovely spacious apartment in central location 60qm,11718857,Edith,,Neuhausen-Nymphenburg,48.14594,11.54115,Entire home/apt,91,3,29,2022-10-27,0.68,1,90,13,
34663855,Wohnung mitten im Trendviertel Gärtnerplatz,174141633,Laura,,Ludwigsvorstadt-Isarvorstadt,48.12945,11.57701,Private room,55,15,3,2021-08-01,0.08,1,79,0,
36047542,Gemütliche 60qm Wohnung mit Balkon  in Top Lage,19607564,Jennifer,,Ludwigsvorstadt-Isarvorstadt,48.12667,11.56165,Entire home/apt,120,1,2,2022-04-02,0.05,1,0,1,
35027027,BEST DEAL // Cozy and beautiful Flat in SCHWABING,8849706,Tatiana,,Schwabing-West,48.16189,11.57245,Entire home/apt,100,2,1,2019-06-07,0.02,1,27,0,
36054399,"Premium tiny room, perfekte Lage -NUR 2G !!",271233551,Heike,,Au-Haidhausen,48.13211,11.60589,Entire home/apt,85,3,52,2022-12-01,1.24,1,229,25,
34666784,Schwabinger Altbauwohnung,93639417,Markus,,Schwabing-West,48.15849,11.56592,Private room,120,2,6,2021-02-25,0.14,1,177,0,
34677963,"""Little Star""  Schlafoase im Zentrum",28482431,Adriana,,Ludwigsvorstadt-Isarvorstadt,48.13014,11.57838,Entire home/apt,115,1,98,2022-06-20,2.24,5,231,18,
35052942,Entspannen in geräumiger und schöner Villa Mü-Ost,178942144,Ulrich,,Bogenhausen,48.14189,11.66275,Private room,40,1,31,2022-10-10,0.73,3,1,12,
36066238,Cityflat - Downtown - Odeonsplatz,187259907,Marina,,Maxvorstadt,48.14339,11.57165,Private room,68,3,6,2019-10-27,0.14,1,0,0,
